商品名称,商品价格,评论总数,好评率,评论热词,商品id
宏碁（Acer） 暗影骑士·擎/威武骑士15.6英寸十代酷睿标压高色域电竞屏手提游戏本笔记本电脑 十代i5-10200H/GTX1650Ti 标准版 8G 512G SSD固态,5699.0,18,1.0,"时尚大气,运行超快,反应灵敏,细腻柔滑,造型帅气,外观酷炫,散热超快",10030364415304
戴尔笔记本电脑dell灵越15-3501 15.6英寸高性能轻薄商务笔记本电脑(11代英特尔酷睿i5-1135G7 16G 512GSSD),4399.0,50000,0.93,"运行速快,运行超快,十分大气,简洁大方,方便快捷,轻薄精巧,简单方便,质量上乘,倍感舒适,散热超快,运行安静",100016777664
京品电脑荣耀笔记本 MagicBook X 15 2021 15.6英寸全面屏轻薄笔记本电脑 （i5 10210U 8GB 512GB多屏协同）冰河银,3899.0,10000,0.95,"运行稳定,十分大气,轻薄精巧,运行超快,简洁大方,方便快捷,简单方便,办公足够,散热超快,倍感舒适,质量上乘",100021400874
联想小新Pro14高性能轻薄本英特尔Evo平台14英寸全面屏办公笔记本电脑(标压i5-11300H 16G 512G 2.2K护眼屏),5499.0,200000,0.91,"运行速快,轻薄精巧,反应灵敏,十分大气,结实耐用,方便快捷,时尚大气,运行超快,倍感舒适,质量上乘,运行安静",100019543670
联想ThinkPad E14 2021 居家办公本 酷睿版 英特尔酷睿i5 14英寸轻薄笔记本(i5-1135G7 16G 512G 100%sRGB)银,5299.0,100000,0.93,"运行稳定,反应灵敏,十分大气,方便快捷,时尚大气,轻薄精巧,运行超快,简单方便,质量上乘,散热超快,毫不刺眼",100016514918
RedmiBook Pro 15 轻薄本(11代酷睿i5-11300H 16G 512G PCIE 锐炬显卡 3.2K 90Hz全面屏) 红米小米笔记本电脑,4999.0,20000,0.92,"运行速快,十分大气,轻薄精巧,做工一流,运行超快,方便快捷,倍感舒适,手感一流,功能齐全,散热超快,质量上乘",100010456505
惠普(HP)暗影精灵7 游戏本 16.1英寸笔记本电脑(i5-11400H 16G 512GSSD RTX3050 4G独显 高色域),5999.0,5000,0.96,"十分大气,简洁大方,大气稳重,反应灵敏,流畅度佳,运行超快,手感一流,倍感舒适,运行安静,功能强大,方便快捷",100020923576
荣耀笔记本电脑 MagicBook 14 2021 14英寸全面屏/多屏协同/轻薄本(11代酷睿i5 1135G7 16G 512G 锐炬显卡)银,4899.0,50000,0.95,"运行稳定,十分大气,反应灵敏,轻薄精巧,方便快捷,运行超快,时尚大气,简单方便,散热超快,倍感舒适,功能强大",100010111411
联想ThinkPad E14 2021款 酷睿版 英特尔酷睿i7 14英寸轻薄笔记本电脑(i7-1165G7 16G 512G 100%sRGB)银,6199.0,100000,0.93,"十分大气,反应灵敏,运行超快,轻薄精巧,简洁大方,质量上乘,十分流畅,音效超棒,功能齐全,手感一流,方便快捷",100016514926
戴尔DELL成就3400 14英寸轻薄性能商务全面屏笔记本电脑(11代i5-1135G7 16G 512G)一年上门+7x24远程服务,4399.0,50000,0.93,"运行速快,反应灵敏,十分大气,轻薄精巧,运行超快,简洁大方,简单方便,方便快捷,散热超快,质量上乘,网速极佳",100016777690
荣耀MagicBook Pro 2020款 16.1英寸全面屏轻薄笔记本电脑（R5 4600H 16G 512G 7nm 100%sRGB）冰河银,4399.0,100000,0.93,"运行稳定,轻薄精巧,反应灵敏,十分大气,简洁大方,运行超快,散热超快,方便快捷,倍感舒适,简单方便,运行安静",100007852387
Apple MacBook Air 13.3 新款八核M1芯片(7核图形处理器) 8G 256G SSD 深空灰 笔记本电脑 MGN63CH/A,7999.0,20000,0.95,"轻薄精巧,反应灵敏,结实耐用,做工一流,小巧玲珑,省力便捷,操作简单,运行超快,十分流畅,节能降耗,散热超快",100009464799
